ensemble,Unnamed: 0,score
"""HistGB+LDA"",",34.5,0.7295936073189706
"""CatBoost+LDA"",",44.5,0.729100699012323
"""LDA+XGBoost"",",49.5,0.7287313020758134
"""LDA+SVM"",",24.5,0.7271013648650442
"""LDA+LightGBM"",",39.5,0.7267742124617436
"""K-NN+LDA"",",19.5,0.7259248020048041
"""LDA+RF"",",29.5,0.7231970200619664
"""LR+SVM"",",19.5,0.7222781475949074
"""LDA+LR"",",4.5,0.7222086882007774
"""HistGB+LR"",",29.5,0.7205106632354177
"""LR+RF"",",24.5,0.7183816990009323
"""CatBoost+LR"",",39.5,0.7178276882292831
"""LR+XGBoost"",",44.5,0.7166125976859568
"""LR+LightGBM"",",34.5,0.7157301244761238
"""CatBoost+HistGB"",",69.5,0.7137670920521848
"""LightGBM+SVM"",",54.5,0.7129745223706541
"""CatBoost+SVM"",",59.5,0.7119148010749135
"""K-NN+LR"",",14.5,0.7117482440946987
"""HistGB+SVM"",",49.5,0.7110096418428742
"""SVM+XGBoost"",",64.5,0.7108886895541836
"""K-NN+LightGBM"",",49.5,0.7107754054863953
"""CatBoost+XGBoost"",",84.5,0.7107107444532401
"""LDA+NB"",",14.5,0.710626690487501
"""HistGB+K-NN"",",44.5,0.7106076132382154
"""HistGB+LightGBM"",",64.5,0.7105911348016085
"""CatBoost+K-NN"",",54.5,0.7104121689781329
"""LightGBM+XGBoost"",",79.5,0.7100172233124868
"""HistGB+RF"",",54.5,0.7094058362615143
"""CatBoost+RF"",",64.5,0.7085517554193964
"""LightGBM+RF"",",59.5,0.7078552504194571
"""K-NN+XGBoost"",",59.5,0.7078338135015784
"""RF+SVM"",",44.5,0.7072608175808621
"""K-NN+RF"",",39.5,0.706963812801136
"""K-NN+SVM"",",34.5,0.7068366906939425
"""RF+XGBoost"",",69.5,0.7066587861960074
"""CatBoost+LightGBM"",",74.5,0.7058767486328901
"""HistGB+XGBoost"",",74.5,0.7029088113825688
"""LR+NB"",",9.5,0.7023867447371144
"""NB+SVM"",",29.5,0.6989444894009287
"""LightGBM+NB"",",44.5,0.6973743871784983
"""HistGB+NB"",",39.5,0.6972838757187071
"""NB+XGBoost"",",54.5,0.695931874046978
"""CatBoost+NB"",",49.5,0.6955782067875917
"""NB+RF"",",34.5,0.6954723527246226
"""K-NN+NB"",",24.5,0.6932938462984638
