,ensemble,score
0,log+lda,0.7227649493636552
1,log+nb,0.7049132325382226
2,log+knn,0.707817658450127
3,log+svc,0.7211958474447894
4,log+rf,0.7191959954060856
5,log+hgb,0.7254408616552581
6,log+lgb,0.7128757078459902
7,log+cgb,0.713781803961937
8,log+xgb,0.7116296218293628
9,lda+log,0.7216524270378997
10,lda+nb,0.7093893581819606
11,lda+knn,0.7249255232151295
12,lda+svc,0.726223387305738
13,lda+rf,0.7226046887470893
14,lda+hgb,0.7273393304465754
15,lda+lgb,0.7263592779848056
16,lda+cgb,0.7301252133590255
17,lda+xgb,0.7281149922301792
18,nb+log,0.6998602569360061
19,nb+lda,0.7118640227930415
20,nb+knn,0.6904286116750449
21,nb+svc,0.6987357822639503
22,nb+rf,0.6955191374883527
23,nb+hgb,0.7007123361041143
24,nb+lgb,0.6961686781997276
25,nb+cgb,0.6964071305770383
26,nb+xgb,0.6946187587465736
27,knn+log,0.7156788297392704
28,knn+lda,0.7269240807944789
29,knn+nb,0.6961590809218827
30,knn+svc,0.7082081787480388
31,knn+rf,0.7064387186508843
32,knn+hgb,0.7111757266313327
33,knn+lgb,0.7081818332481322
34,knn+cgb,0.7100239546115937
35,knn+xgb,0.7083216484536717
36,svc+log,0.7233604477450255
37,svc+lda,0.7279793424243503
38,svc+nb,0.699153196537907
39,svc+knn,0.7054652026398464
40,svc+rf,0.7067236654832277
41,svc+hgb,0.7102639974232734
42,svc+lgb,0.7139457929737798
43,svc+cgb,0.7158612227676697
44,svc+xgb,0.7103133236826613
45,rf+log,0.717567402595779
46,rf+lda,0.7237893513768436
47,rf+nb,0.6954255679608925
48,rf+knn,0.7074889069513877
49,rf+svc,0.7077979696784966
50,rf+hgb,0.7079215556735996
51,rf+lgb,0.7063497298252015
52,rf+cgb,0.7089317232156314
53,rf+xgb,0.7081959985932114
54,hgb+log,0.7155804648155774
55,hgb+lda,0.7318478841913658
56,hgb+nb,0.6938554153332999
57,hgb+knn,0.7100394998450982
58,hgb+svc,0.7117552862624749
59,hgb+rf,0.7108901168494289
60,hgb+lgb,0.7092508288940715
61,hgb+cgb,0.7165317038445115
62,hgb+xgb,0.7031192897054396
63,lgb+log,0.7185845411062575
64,lgb+lda,0.7271891469386816
65,lgb+nb,0.6985800961572689
66,lgb+knn,0.7133689777246585
67,lgb+svc,0.7120032517675282
68,lgb+rf,0.7093607710137126
69,lgb+hgb,0.7119314407091455
70,lgb+cgb,0.7060134491334531
71,lgb+xgb,0.7112721227126718
72,cgb+log,0.7218735724966292
73,cgb+lda,0.7280761846656205
74,cgb+nb,0.6947492829981453
75,cgb+knn,0.7108003833446721
76,cgb+svc,0.7079683793821572
77,cgb+rf,0.7081717876231615
78,cgb+hgb,0.7110024802598581
79,cgb+lgb,0.7057400481323269
80,cgb+xgb,0.709491191232847
81,xgb+log,0.7215955735425508
82,xgb+lda,0.7293476119214476
83,xgb+nb,0.6972449893473822
84,xgb+knn,0.707345978549485
85,xgb+svc,0.7114640554257059
86,xgb+rf,0.7051215737988035
87,xgb+hgb,0.7026983330596981
88,xgb+lgb,0.7087623239123018
89,xgb+cgb,0.7119302976736332
