,ensemble,score
0,log+lda+nb,0.7243567732985811
1,log+lda+knn,0.7277920729087365
2,log+lda+svc,0.7239112589488363
3,log+lda+rf,0.7252372721352186
4,log+lda+hgb,0.7295044061870557
5,log+lda+lgb,0.7299462267709623
6,log+lda+cgb,0.7278613109531873
7,log+lda+xgb,0.7311363412850541
8,log+nb+lda,0.7149160997509608
9,log+nb+knn,0.7165459215956214
10,log+nb+svc,0.7123879098762701
11,log+nb+rf,0.710478293101963
12,log+nb+hgb,0.715173795079737
13,log+nb+lgb,0.7113806786330249
14,log+nb+cgb,0.716438406597826
15,log+nb+xgb,0.7104653081046325
16,log+knn+lda,0.7245779443301263
17,log+knn+nb,0.7118599097581366
18,log+knn+svc,0.7179543136878119
19,log+knn+rf,0.717895620926595
20,log+knn+hgb,0.7196825128620397
21,log+knn+lgb,0.7140491116107024
22,log+knn+cgb,0.7187330474947605
23,log+knn+xgb,0.7145858393803417
24,log+svc+lda,0.7245376274404228
25,log+svc+nb,0.7173876783993609
26,log+svc+knn,0.7191074438085682
27,log+svc+rf,0.7198393619719445
28,log+svc+hgb,0.7213052827614348
29,log+svc+lgb,0.7218086697256816
30,log+svc+cgb,0.7244458104467036
31,log+svc+xgb,0.7211719827994323
32,log+rf+lda,0.7306575141479665
33,log+rf+nb,0.7130136716714482
34,log+rf+knn,0.7174197813483814
35,log+rf+svc,0.7192616641876282
36,log+rf+hgb,0.7239254979990692
37,log+rf+lgb,0.7190785849334866
38,log+rf+cgb,0.7107627644613832
39,log+rf+xgb,0.7155332463552437
40,log+hgb+lda,0.7299872407058021
41,log+hgb+nb,0.7116956064244697
42,log+hgb+knn,0.7217220457469373
43,log+hgb+svc,0.7202727973009952
44,log+hgb+rf,0.7075020319911901
45,log+hgb+lgb,0.7124145692844774
46,log+hgb+cgb,0.7182571399233966
47,log+hgb+xgb,0.7162773450492212
48,log+lgb+lda,0.716766944135526
49,log+lgb+nb,0.7138224286749028
50,log+lgb+knn,0.7196449742545832
51,log+lgb+svc,0.7178105341324341
52,log+lgb+rf,0.7196964528331501
53,log+lgb+hgb,0.7137190216006382
54,log+lgb+cgb,0.7198401623565759
55,log+lgb+xgb,0.7209337908895779
56,log+cgb+lda,0.7273071075545541
57,log+cgb+nb,0.7097521399186679
58,log+cgb+knn,0.721134085761788
59,log+cgb+svc,0.7174944403497494
60,log+cgb+rf,0.7206412512507707
61,log+cgb+hgb,0.7227227603298719
62,log+cgb+lgb,0.7157080514304706
63,log+cgb+xgb,0.7229968963658057
64,log+xgb+lda,0.7301095019163185
65,log+xgb+nb,0.7091079098631345
66,log+xgb+knn,0.7245206767865656
67,log+xgb+svc,0.713977695319852
68,log+xgb+rf,0.7243006954776833
69,log+xgb+hgb,0.71742796823076
70,log+xgb+lgb,0.7158469779801225
71,log+xgb+cgb,0.7184200715412428
72,lda+log+nb,0.7176199667422225
73,lda+log+knn,0.726362370423866
74,lda+log+svc,0.730329085883006
75,lda+log+rf,0.725665191725229
76,lda+log+hgb,0.7260736390201247
77,lda+log+lgb,0.726083978637911
78,lda+log+cgb,0.7253464683909802
79,lda+log+xgb,0.7282161156143683
80,lda+nb+log,0.7125907258734644
81,lda+nb+knn,0.7132620412719785
82,lda+nb+svc,0.7245826911299498
83,lda+nb+rf,0.7167150881510593
84,lda+nb+hgb,0.7234889177115296
85,lda+nb+lgb,0.7236869167073434
86,lda+nb+cgb,0.717665420469197
87,lda+nb+xgb,0.7142143047158298
88,lda+knn+log,0.728487081069208
